Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Nature;Reporting Type;Units;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);174;Comoros;NA;G;NUMBER;2000;;;;70;;461;66576.90024;1068;6530.54072;2972.80055;287;573.4864;;52125.12593;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);184;Cook Islands;NA;G;NUMBER;1681;;;;;4443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);188;Costa Rica;NA;G;NUMBER;27975.3;223;4785;1238867.6;2709.73;14343.648;6;10768;16;43448.8;1491.918;10185;27005;47.2;165762;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);384;Côte d'Ivoire;NA;G;NUMBER;1218;5.4812;30;;176;2053;9;;767;10187;6917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);191;Croatia;NA;G;NUMBER;;;;;;;;;;;;;7530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);196;Cyprus;NA;G;NUMBER;101;17;147;21;1185;306;466;9;2;1314;88;10;670.5;935;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);203;Czechia;NA;G;NUMBER;;;;;;;;;;;;500;81001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);262;Djibouti;NA;G;NUMBER;44;324.5;27;75;141;39;157;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);212;Dominica;NA;G;NUMBER;;;6969;;4;686;429;21;4231;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);218;Ecuador;NA;G;NUMBER;11332.36057;19752.38208;20781.30201;75550.56127;10142.12232;;476;18945;283;;;96012.77754;23031;3;45.36;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);818;Egypt;NA;G;NUMBER;25289;25824;31777;37185;36694;37284;28337;22588;23238;24904;20328;22572;20539;18572;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);222;El Salvador;NA;G;NUMBER;32227.0075;25756.06382;40903.68665;39497.29384;81881.54384;37359.08345;61951.02789;2468.83231;3393.79566;1942.70251;23179.98527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);226;Equatorial Guinea;NA;G;NUMBER;;;;;;12;;69;8;12;;1499;430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);233;Estonia;NA;G;NUMBER;1863;;;;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);748;Eswatini;NA;G;NUMBER;2217;2222;350082;287860;258639;192759;166231;101718;221103;258275;200897;642924;178366;710.00139;207922.00261;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);231;Ethiopia;NA;G;NUMBER;5180332;10011265;3161713;2359031;5004163;6351826;2843212;4763.88535;;;;378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);242;Fiji;NA;G;NUMBER;;79.62851;14.40004;964.80254;15230.44002;7972.82095;412.80108;42976.85162;;;;140241.82659;;155724;77756;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);246;Finland;NA;G;NUMBER;610;453;325;450;338;324;231;400;245;275;207;267;273;305;68;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);250;France;NA;G;NUMBER;;;;;;;;;;;;4367;11611;8526;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);270;Gambia;NA;G;NUMBER;;;;710;16608;53822;;428000;3300;;2147.94684;29403.89044;56149;76651.83387;77477;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);268;Georgia;NA;G;NUMBER;;;;;;;;;;;;;103;198;90.77097;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);288;Ghana;NA;G;NUMBER;;;;;;;13.21553;6132.68471;8.81035;145.8;155.27947;221.06605;79691.4675;4506.46884;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);308;Grenada;NA;G;NUMBER;24472;;;;1;;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);320;Guatemala;NA;G;NUMBER;316963.96669;8938.47728;22159.37973;19248;1532;27531;8481;18069;1551;8576;11444;49932;52178;9870;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);624;Guinea-Bissau;NA;G;NUMBER;;;;;;;;;;;;;3360;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);328;Guyana;NA;G;NUMBER;291945.25258;32834.34556;1053.73024;226.75747;224.14094;298.23061;669.92121;182.16973;8662.70405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);340;Honduras;NA;G;NUMBER;39565;5431;43525;98248;66611;103716;88;988;850;461;488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);360;Indonesia;NA;G;NUMBER;569620;2049409;1096568;392261;2862830;333235;368907;271498;452000;279584;128030;241665;249697;11094891;248086.88096;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);364;Iran (Islamic Republic of);NA;G;NUMBER;128258.95294;384530.68325;42927.73308;11696.40223;12410.20247;37178.91731;6374816.48456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);368;Iraq;NA;G;NUMBER;;;22686;67443;72632;65509;66432;68013;68513;68925;73564;70017;72158;14447;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);372;Ireland;NA;G;NUMBER;;;;;;;;;;;;2099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);388;Jamaica;NA;G;NUMBER;29934.50236;279.19131;148109.95668;35642.70692;93;12266.82376;52;35525.81792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);392;Japan;NA;G;NUMBER;;;;;;;;;;;69117;221014;57146;446061;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);400;Jordan;NA;G;NUMBER;971.76;328;287;79;101;197;75;11;773;989;1265;1711;1451;755;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);398;Kazakhstan;NA;G;NUMBER;447.57972;;;;;;1325.22197;;;3;3.49663;4185.46358;22519;15743;354;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);404;Kenya;NA;G;NUMBER;2875;5354.50156;116;43653.80332;159705.60295;44925.5742;6716.4808;13323.71672;1592.2948;1894.25788;16187.75528;2322.52484;26.19412;;803;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);412;Kosovo;NA;G;NUMBER;52.309;5303.4;2007.723;723.9;108.028;1078.979;539.8;28448.9;2808.992;3519.818;1019.3696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);414;Kuwait;NA;G;NUMBER;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);417;Kyrgyzstan;NA;G;NUMBER;;;;;;;;;;;31700;7752.28;1930.6;2176;1170;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);418;Lao People's Democratic Republic;NA;G;NUMBER;731470.55542;32943.02039;238601.91285;279993.29741;962372.67521;427887.4252;1243360.17989;6228.91585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);422;Lebanon;NA;G;NUMBER;6.65;35.994;98.311;491.195;135.553;;;102;71;36;;93;282;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);450;Madagascar;NA;G;NUMBER;225675.65525;731565.03741;861768.34949;974580.46343;526578.49128;1007705.98523;423467.36664;449810.53713;624142.44926;865239.50704;140531.00756;66576.95322;599146.72743;193170.0217;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);454;Malawi;NA;G;NUMBER;4412347.28053;6467802;324694;1371210.50025;350405;233094.99988;4391734;4387019.9992;1673257;918813;2254906;333515;103740;147522;6765529;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);458;Malaysia;NA;G;NUMBER;10158;31540;44235;6443;14241;9882;15797;66328;147743;557713;28356.584;84949.048;180255.506;51493;10529;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);462;Maldives;NA;G;NUMBER;1603.21777;3954.85519;3758.44957;121.83794;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);466;Mali;NA;G;NUMBER;;7076.65073;38868.29676;6288.94769;21692.33573;73043.57218;19769.01157;83108.36251;12171.83241;5872.32565;;;259092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);584;Marshall Islands;NA;G;NUMBER;;;;96;;;;;;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);480;Mauritius;NA;G;NUMBER;1085.06458;814.79375;1347.46488;2817.51577;571.94881;150.53661;96.40714;4015.46845;3831.82738;166.66012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);484;Mexico;NA;G;NUMBER;510328;214940;907112;248892;201768;911712;203136;209508;246540;157516;54744;92996;1081816.5;3894020.07;3590834.9;;;;;;;;;;;;;;;;;;;;;;;;;;;
